Country,Year,Energy Type,Production (GWh),Installed Capacity (MW),Investments (USD),Population,GDP,Energy Consumption,Energy Exports,Energy Imports,CO2 Emissions,Renewable Energy Jobs,Government Policies,R&D Expenditure,Renewable Energy Targets,Average Annual Temperature,Annual Rainfall,Solar Irradiance,Wind Speed,Hydro Potential,Geothermal Potential,Biomass Availability,Energy Storage Capacity,Grid Integration Capability,Electricity Prices,Energy Subsidies,International Aid for Renewables,Public Awareness,Energy Efficiency Programs,Urbanization Rate,Industrialization Rate,Energy Market Liberalization,Renewable Energy Patents,Educational Level,Technology Transfer Agreements,Renewable Energy Education Programs,Local Manufacturing Capacity,Import Tariffs on Energy Equipment,Export Incentives for Energy Equipment,Natural Disasters,Political Stability,Corruption Perception Index,Regulatory Quality,Rule of Law,Control of Corruption,Economic Freedom Index,Ease of Doing Business,Innovation Index,Number of Research Institutions,Number of Renewable Energy Conferences,Number of Renewable Energy Publications,Energy Sector Workforce,Proportion of Energy from Renewables,Public-Private Partnerships in Energy,Regional Renewable Energy Cooperation
USA,2011,Solar,85404.69002657851,5549.794322627294,5604124938.338174,1064007213,177527818919196.2,369654.6441836122,93087.19819879113,13413.184739823379,294399.3778914006,756878,1,8676561392.141676,1,21.956028072109138,157.01345661818925,203.03859741941042,5.838375136540771,95.59797187656015,2.5166372660426317,30.267999168258886,367.56568327443324,0.3135323919597607,0.14986803097266482,168820814.7040228,236880384.71809506,7.171838535690622,0,58.56301845667096,9.518225987689155,0,423,5.9544014411353485,0,1,58.77444467168177,79.05345923817552,1.6278885203093285,0,1.1737707235560424,8.829343004194568,5.093915974962563,2.2071953627975063,6.339640452137775,49.21680033561711,57.67860503848116,76.80322835345362,851,75,6361,511658,25.90789459727334,1,0
Australia,2008,Geothermal,22205.0693816595,43211.593797767884,636188589.2449071,1033255852,64353719977940.7,771781.6362925589,1752.5360544540881,78493.9822084712,826531.6782524436,945074,0,4421451899.868511,1,24.63325575365785,1336.0032079778816,111.13307767847824,14.872917120486173,71.73461449052834,88.70368337327086,36.0369454535077,556.5560326744187,0.8368571309280468,0.3311439754118357,845225474.6579808,152507363.1924012,9.35000875847904,1,30.587331139293273,29.718921672518384,0,519,0.7592398734156558,0,1,82.39723007629294,33.31854683011567,96.10467228944547,1,6.7919023497317195,3.757925859004061,6.810464686010044,6.3124599587475405,0.7233848967966561,79.99094231284987,1.7615789327387943,48.697825246165785,590,39,9752,974948,95.00354665450509,0,1
Canada,2013,Biomass,94102.73203761142,6139.117212313818,6158679593.928604,14895124,156792558512690.16,342707.15289942647,65146.59249759289,41114.87218757063,43695.24019105409,588423,1,8568534293.077163,1,13.501933803025075,357.5170577835906,159.99644232970917,3.4732095905884304,84.02229222074152,6.6116578199474585,54.59594824101669,30.986430599220338,0.2052871561623888,0.15754118070384,257833727.4193508,873341258.962022,5.823927438214282,1,31.91376220053337,10.507144700624604,0,215,3.632895434398379,1,1,30.238886128483934,91.86134295105894,56.29839321079642,0,4.904172440667231,2.022067680495563,1.2654538538236204,0.4214322023979955,8.898477624901314,94.37404019657234,77.65733388899115,67.33481311661463,101,7,311,326318,67.35453937347727,1,0
Japan,2010,Biomass,88771.9329100875,40323.63925957208,8526116427.909157,1448827283,135046406195172.5,498839.5742529395,50257.591013897705,42010.475937446434,840378.7966824662,11049,1,9958630991.254112,0,1.0908995631176008,2271.3120212170284,297.1636140489203,13.575549103533106,53.17173128655691,39.856383670439065,45.27613428930014,592.9484155608766,0.27325065775235646,0.4529708429450581,979826937.6124604,799937956.79542,0.6254294056876508,1,89.94682737711581,17.59918325664229,1,73,4.590745907703672,0,0,45.85393980911563,60.54180693553396,11.950116015059697,1,8.879933031433126,7.94865145021955,3.821774025337773,1.1107824858866155,3.8494731132651463,65.14347221310669,44.98773434271664,4.544288555228948,327,3,7708,506078,33.75410391770871,0,0
China,2018,Solar,93288.40858117655,30755.403055619685,5086237221.2104845,1499494307,86779560922578.3,819064.362785224,63101.39556176742,17912.96193990885,162034.25433961197,225191,0,7608111765.726064,1,30.64102190477461,2285.0160137570706,133.26937772287002,14.964738759048007,46.423859287257194,98.64820679509265,93.72979602772568,933.7387957689797,0.1818113196327108,0.05882679109143303,676760614.686479,96971816.2472056,1.3214064828912542,0,44.69206127968348,44.31616621004132,1,859,0.001749564059881914,1,0,64.51765070669252,95.84644762068272,99.97845992102754,1,7.700085217980397,5.596968235489843,2.0295497753289404,0.6346017831689255,1.3452888424730314,86.21362567835119,62.53522285279267,10.287199124219581,985,69,4919,187964,59.5092277027326,1,0
India,2014,Wind,90483.64715931803,28526.81641416707,9359773764.31154,796046057,12010867961551.84,363527.6978021052,81737.60005127953,79121.26500895261,132562.78626691387,816485,0,224698807.0365259,0,37.73960957402565,2457.0280236516523,220.43613525640774,6.664297101799843,17.622755955709323,41.17803311417328,78.7585086047938,940.6148653751069,0.6833304146073265,0.06966251606640902,19569394.886856455,609103085.1401607,9.629536842015426,1,73.75245280871242,12.865816548696074,0,131,7.272709671596729,1,1,94.20075190227772,39.2187537934116,72.438756455131,1,4.8790208625580895,5.682031395266943,2.437824894248312,3.120685010865012,2.2942875224408987,55.92616325607166,87.38831608843684,91.7398350344676,915,52,1684,602517,8.960623948979041,1,1
Germany,2014,Wind,5656.905989867986,20658.704725199805,7703453578.998243,926881425,110480523170481.47,997437.3356607353,95825.29211378525,38129.25879323483,695687.1214173409,708461,1,7641579270.630462,0,-1.9985835024476941,721.5378944145431,256.75095351023083,10.961162145023856,89.33686007726692,41.64168151517361,32.295486608336,924.6297210940377,0.8723612120617542,0.4980412528338486,200865724.7181261,908599450.3201396,4.325675240501318,0,20.948918260396876,52.341989158385886,1,237,3.1266306573483105,1,1,12.614481022771951,52.18301816733744,48.40572486431286,1,6.98834492707595,3.1924298103272397,8.98634420023369,3.971976780213512,4.415363297386094,40.33197102396926,54.155262174957166,55.122028543482756,419,67,895,188545,63.04955369488958,0,0
Germany,2016,Biomass,63308.32777330517,47740.6996941846,2808873172.8384504,518729600,27111924401732.707,228249.1337113572,28094.829701940136,93865.6356093257,85869.94340759385,354460,0,7855940459.334349,0,16.027092214349935,1314.221459138043,223.83670023023524,10.53494152497783,65.81909480969176,30.112389425759133,36.687725321181205,48.38558073004804,0.6829870641594951,0.18951646418743157,737798234.7163688,793133419.9262532,0.18275519036447307,0,48.65836595718809,72.7002672176019,0,219,3.4021893149063387,1,1,31.27089908157078,15.034818597530396,93.1851609814476,1,7.576639531346645,0.6185609615370902,4.147213598031487,2.9444900304403685,9.13447748129481,26.97992323681303,94.81541769026082,31.329946048638334,187,72,8925,735675,66.66170719651006,0,1
Japan,2015,Biomass,70560.47106191165,37648.718972201,9095394363.10571,104974272,60886171438019.75,121449.8361133625,61009.674374564616,26814.90515271502,833178.3576114378,339831,0,9601446561.060442,0,13.804864454614044,2196.322423545261,299.82723887233135,1.3891258601652567,51.898509298775394,29.651324204239714,26.055647278371154,386.54032635203924,0.33981261926852113,0.49828213494989315,829625319.6655064,996826420.4272629,9.854449092108172,0,34.62481202556709,15.769220572247999,1,12,3.8923250480747082,1,0,32.40605764878005,70.35486295590952,91.67484417047545,1,8.977770499218918,6.553234252893903,7.905286869879627,6.806181252823125,3.2458264900301073,69.94138569706281,23.78018321031108,71.28660919059104,995,34,1287,707187,59.37523078167723,1,0
Canada,2002,Wind,57780.09974625366,22408.24192185452,2810623523.563448,1304327983,79793351601566.97,364330.10399251187,32170.718271365484,54550.202691865496,146833.07510254695,938728,0,7050800475.41,1,0.9017034932526453,779.8273183498684,252.4078562481645,1.0117946438750869,95.3437421384052,56.85597311796844,15.136972232041723,966.1894263262287,0.6153864008561073,0.29630119078442335,134868198.93072194,533067156.3782727,3.0230987399728204,0,4.178583003122571,49.994498391492435,0,350,2.4318670346629814,1,1,42.27695178525666,29.690365299210686,34.37316718831633,0,9.732791647459553,3.3909334962435453,2.1833761228105075,9.217718110770058,5.898518637707219,76.10949439420752,4.616307349485482,52.150741921166585,775,51,2919,573988,55.01812274579593,1,0
Australia,2020,Hydro,3386.1154289015817,39711.89793618251,3891812729.533588,902409611,65341355942158.69,113964.35834129823,22082.90282655798,42793.31453086248,131626.69937175672,18034,0,4662931765.986603,0,17.663241088196354,490.306285333725,127.58807698104802,4.404496046536643,16.99437018492851,69.18807239154137,0.8407876919343527,373.5097779111951,0.5013715093884018,0.431328055418615,193550375.83428824,733545395.2527905,7.778638573450085,1,46.442801547653325,0.231000043829499,0,844,8.298583469287825,1,1,50.08085100916635,64.1050156594379,37.07484308457442,1,1.5669322016302856,1.740113714495265,7.67237107970969,3.2019034758813003,5.942730308218711,6.53197578210698,97.15041196065624,1.634263037273176,129,45,213,413800,49.685992444311964,0,0
France,2015,Biomass,35747.14937275996,11408.685733855198,9918204882.903284,551826175,68950038569662.42,746144.5280681575,39447.162163165995,3493.8643207451564,232158.0339748636,436217,1,4340263619.89438,0,15.814700275629583,2663.8118131598767,228.29556649741002,14.356898832299585,46.23169345175312,20.501958237957385,76.95521097757475,408.857990869386,0.8435347970569442,0.05199883481372145,690285749.2699424,33087136.867986154,8.774405459734506,1,30.339936440670346,95.68475489740108,1,169,2.0774377472975045,1,0,10.563698614907002,44.33335971058266,47.35232767273029,1,2.069806746940792,6.180581541648862,4.034180183690097,3.2906042107322175,8.595444704234026,47.44638741428806,75.01595548472203,86.42410612902547,380,66,5753,171701,56.1688425757285,0,0
Japan,2003,Solar,37917.34062157452,25327.819718986015,2183215453.544724,764933521,25956213176778.625,783683.4256702394,74787.85219176303,22775.013209862045,355712.55062126,925420,0,3343911058.9544673,0,34.28723344769791,1313.7280211937648,288.8518488148083,11.258748573059375,68.48155378368756,3.9717830876573545,62.46540616227435,790.7222918195099,0.8126905099177184,0.4531386145108724,650720405.1065997,751809200.2940778,7.45191309996987,1,8.677658365051144,31.58129246864637,0,47,0.8613439040689264,1,0,93.1881335221307,97.5940094313853,77.83965162038592,1,2.4596724803301306,6.928491943613456,8.85881648765759,1.7625975523047255,9.39605543130638,35.81466498825282,65.03023004301562,86.05931692562423,610,64,6654,836881,1.491285873973136,1,0
Brazil,2004,Geothermal,92392.05433173166,1451.9577371630983,2450100983.4448447,431084272,95894745626916.3,228345.02771089078,44923.94583861339,43814.597648900795,815109.1193160713,460132,0,3022177261.1549745,0,-5.527712554228766,2629.1575092239223,271.64329604834404,12.132348608158908,60.97014250439273,1.9838378491995878,21.64028289592662,460.77739303691436,0.6910129326675082,0.43851930884244456,11490883.078157103,946942568.6702665,3.1900269486754196,0,65.1432041467186,54.11067194746517,1,362,3.4013017996673534,0,1,42.5019984310222,0.6265242919145653,98.43657372316463,1,8.524550733941604,9.708582523385733,9.616563962439189,1.7226671636808,6.754293256129791,95.85886186739003,62.8098813862305,98.31367784869491,594,45,6847,428121,63.09970555366543,1,1
China,2019,Solar,78755.09374601669,36288.85624888997,5635218481.542556,979747287,132604064329803.53,361977.027721083,75840.36555587848,31535.580403474618,858104.3244757986,942579,1,7342050241.754522,1,13.226426034665455,1177.9430362090561,254.08170227100186,1.1803239567668555,73.5530166078333,26.888701986228135,94.12568835742864,164.28071771762222,0.03220491422995575,0.15281063743325216,938864169.9911822,449721573.1455367,1.2808986863892935,1,12.838812328242867,46.833573737614245,0,711,1.1751078898155343,0,0,85.36731969000424,18.456948199658108,14.445594287938611,1,3.1613325872580287,2.750090861339489,6.993955858016141,4.917728455473334,4.000973497427401,62.39220335057393,70.43584927687368,12.845641278067177,839,41,3069,210289,54.5177334941829,1,1
Japan,2003,Wind,9627.661808711595,49361.19183575194,7899902428.733262,1044627974,77279054375694.83,276418.26443432254,35864.966738839954,31746.7729759707,968724.0603594754,137272,0,464811092.6136085,0,-1.06367929051647,2687.442988632658,112.34994814776873,1.506654988548839,13.99922671193391,57.21303720787414,45.16770331023076,12.197557189285321,0.5920163931512568,0.172987389820627,386381634.8689116,19232026.066455945,7.371396119563935,1,5.487439289628382,41.69066791023794,0,640,1.4522270963873496,0,1,24.43382763976937,58.230726771516494,67.15749925586728,1,7.413887611011001,2.6146015876584396,2.4306342820621216,0.6964697824208221,2.0121264458178914,33.72297745904821,52.82113811934488,43.73512772100786,757,29,6609,497875,50.20500585182324,1,1
